[24.01.2014 11:51:06] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:06] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:07] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:09] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:09] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:09] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:11] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:11] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:11] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:13] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:13] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:13] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:15] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:15] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:15] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:17] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:17] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:17] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:19] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:19] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:20] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:22] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:22] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:22] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:24] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:24] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:24] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:26] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:26] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:26] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:28] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:28] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:28] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:30] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:30] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:31] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:33] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:33] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:33] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:35] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:35] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:35] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:37] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:37] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:37] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:39] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:39] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:39] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:41] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:41] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:41] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:43] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:43] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:44] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:46] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:46] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:46] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:48] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:48] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:48] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:50] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:50] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:50] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:52] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:52] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:52] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:54] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:54] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:54] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:56] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:56] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:57] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:51:59] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:51:59] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:51:59] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:52:01] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:01] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:52:01] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:52:03] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:03] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:52:03] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:52:05] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:05] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:52:05] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:52:07] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:07] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:52:07] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:52:09] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:09] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:52:10] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:52:12] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:12] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:52:12] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:52:14] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:14] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:52:14] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:52:16] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:16] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:52:16] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:52:18] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:18] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:52:20] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:22] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:24] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:26] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:28] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:30] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:32] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:34] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:36] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:38] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:40] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:42] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:44] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:46] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:48] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:50] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:52] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:54] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:56] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:52:58] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:00] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:02] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:04] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:06] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:08] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:10] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:12] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:14] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:16] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:18] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:20] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:22] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:24] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:26] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:28] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:30] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:32] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:34] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:36] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:38] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:40] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:42] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:44] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:46] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:48] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:50] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:52] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:54] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:53:56] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
